Age,Gender,MonthlyCharges,ContractType,InternetUsage,SupportCalls,Satisfaction,PaymentMethod,Tenure,ServiceType,Churn
22,Male,500,Monthly,High,3,2,UPI,5,Streaming,Yes
35,Female,800,Yearly,Medium,1,4,Card,24,Telecom,No
28,Male,600,Monthly,High,2,3,Cash,12,Banking,Yes
40,Female,900,Yearly,Low,0,5,Card,36,E-commerce,No
30,Male,700,Monthly,Medium,4,2,UPI,8,Streaming,Yes
45,Female,1000,Yearly,Low,1,5,Card,48,Telecom,No
23,Female,400,Monthly,High,5,1,Cash,3,E-commerce,Yes
50,Male,1100,Yearly,Medium,0,4,Card,60,Banking,No
27,Male,650,Monthly,High,3,2,UPI,10,Streaming,Yes
38,Female,850,Yearly,Medium,1,4,Card,30,Telecom,No
29,Female,700,Monthly,High,4,2,Cash,9,E-commerce,Yes
42,Male,950,Yearly,Low,0,5,Card,40,Banking,No
26,Male,550,Monthly,Medium,3,3,UPI,7,Streaming,Yes
48,Female,1050,Yearly,Low,1,5,Card,55,Telecom,No
33,Male,720,Monthly,High,4,2,Cash,11,E-commerce,Yes
37,Female,880,Yearly,Medium,1,4,Card,28,Banking,No
24,Female,450,Monthly,High,5,1,UPI,4,Streaming,Yes
52,Male,1150,Yearly,Low,0,5,Card,65,Telecom,No
31,Male,680,Monthly,Medium,3,3,Cash,10,E-commerce,Yes
44,Female,970,Yearly,Low,1,5,Card,42,Banking,No
25,Male,520,Monthly,High,4,2,UPI,6,Streaming,Yes
47,Female,1020,Yearly,Low,0,5,Card,50,Telecom,No
34,Male,750,Monthly,Medium,3,3,Cash,13,E-commerce,Yes
39,Female,890,Yearly,Medium,1,4,Card,32,Banking,No
21,Female,420,Monthly,High,5,1,UPI,2,Streaming,Yes
55,Male,1200,Yearly,Low,0,5,Card,70,Telecom,No
32,Male,710,Monthly,Medium,3,3,Cash,9,E-commerce,Yes
41,Female,940,Yearly,Low,1,5,Card,38,Banking,No
36,Male,780,Monthly,High,4,2,UPI,14,Streaming,Yes
49,Female,1080,Yearly,Low,0,5,Card,58,Telecom,No
23,Male,530,Monthly,High,4,2,UPI,6,E-commerce,Yes
46,Female,1010,Yearly,Low,1,5,Card,52,Banking,No
28,Female,640,Monthly,Medium,3,3,Cash,11,Streaming,Yes
43,Male,960,Yearly,Low,0,5,Card,45,Telecom,No
27,Female,610,Monthly,High,4,2,UPI,8,E-commerce,Yes
51,Male,1130,Yearly,Low,0,5,Card,62,Banking,No
30,Female,720,Monthly,Medium,3,3,Cash,10,Streaming,Yes
38,Male,870,Yearly,Medium,1,4,Card,29,Telecom,No
24,Male,480,Monthly,High,5,1,UPI,4,E-commerce,Yes
53,Female,1170,Yearly,Low,0,5,Card,68,Banking,No
29,Male,690,Monthly,High,4,2,Cash,9,Streaming,Yes
45,Male,990,Yearly,Low,1,5,Card,47,Telecom,No
26,Female,560,Monthly,Medium,3,3,UPI,7,E-commerce,Yes
40,Male,920,Yearly,Low,0,5,Card,36,Banking,No
31,Female,730,Monthly,Medium,3,3,Cash,12,Streaming,Yes
48,Male,1070,Yearly,Low,0,5,Card,54,Telecom,No
22,Female,460,Monthly,High,5,1,UPI,3,E-commerce,Yes
50,Female,1100,Yearly,Low,0,5,Card,60,Banking,No
33,Female,740,Monthly,Medium,3,3,Cash,13,Streaming,Yes
42,Female,950,Yearly,Low,1,5,Card,41,Telecom,No
